total_rate,total_distance,total_rpm,min_route,Vehicle Type,Pickup City,Pickup State,Pickup ZIP,Delivery City,Delivery State,Delivery ZIP,Rate,Payment Method,Distance,Veh_qty,Vehicle Info,Vehicle Condition,Trailer Type,Pick-Up Date,Order ID,Additional Info,Company Name,Phone,Email,Rating,Pickup metro area,Delivery metro area,P_lat,P_lon,D_lat,D_lon,Time,RPM,Vehicle Type-2,Pickup City-2,Pickup State-2,Pickup ZIP-2,Delivery City-2,Delivery State-2,Delivery ZIP-2,Rate-2,Payment Method-2,Distance-2,Veh_qty-2,Vehicle Info-2,Vehicle Condition-2,Trailer Type-2,Pick-Up Date-2,Order ID-2,Additional Info-2,Company Name-2,Phone-2,Email-2,Rating-2,Pickup metro area-2,Delivery metro area-2,P_lat-2,P_lon-2,D_lat-2,D_lon-2,Time-2,RPM-2
2000.0,1284.2363234007194,1.557345765383667,1.0,MOTORCYCLE,Cincinnati,OH,45240,Boca Raton,FL,33432,500.0,COD/COP,1103.0,1.0,2012 can-am rss,Runs,ENCLOSED,2023-02-13,Not specified,Not specified,Armaz LLC,(305) 747-3633,armaz.llc@gmail.com,94.0,Cincinnati - Middletown,Miami - Fort Lauderdale - Pompano Beach,39.283052,-84.516793,26.346542,-80.08339,02_14_2023_07_23,0.45,CAR,batavia,OH,45103,stuart,FL,34997,1500.0,COD/COP,1047.0,1.0,2022 porsche 992,Runs,ENCLOSED,2023-02-16,29465427,call or text dan 224-707-4058 2 extra sets of wheels lif,Guardian Auto Transport LLC,(224) 707-4076,dispatch@guardianautotransport.com,100.0,Cincinnati - Middletown,Port St. Lucie,39.095573,-84.152305,27.108353,-80.233605,02_14_2023_07_23,1.43
1700.0,1072.935488489467,1.5844382241409,1.0,MOTORCYCLE,Detroit,MI,48201,Charleston,SC,29401,700.0,COD/COP,876.0,1.0,2020 kawasaki ninja,Runs,OPEN,2023-02-13,11355651,Call/text (239) 221-0733 - Ready to go,Global X Logistics LLC,(888) 273-0620,jean@globalxlogisticsllc.com,98.1,Detroit - Warren - Livonia,Charleston - North Charleston,42.346235,-83.06056,32.777596,-79.941923,02_14_2023_07_23,0.8,SUV,Circleville,OH,43113,Myrtle Beach,SC,29588,1000.0,COD/COP,566.0,1.0,2023 cadillac escalade esv,Runs,ENCLOSED,2023-02-16,11364240,Ready to go,Shiplux LLC,(305) 517-3456,admin@shiplux.com,100.0,Columbus,Myrtle Beach - Conway - North Myrtle Beach,39.59806,-82.94528,33.677688,-79.028938,02_14_2023_07_23,1.77
1150.0,720.9804832014097,1.595050111333931,3.0,MOTORCYCLE,Flint,MI,48507,Franklin Park,IL,60131,350.0,COD/COP,292.0,1.0,2006 harley davidson,Runs,OPEN,2023-02-13,Not specified,Not specified,Europe Line Corporation,(773) 600-7890,europelinecorp@yahoo.com,93.4,Flint,Chicago - Naperville - Joliet,42.959289,-83.711557,41.934331,-87.884971,02_14_2023_07_23,1.2,CAR,delaware,OH,43015,bay city,MI,48706,800.0,COD/COP,264.0,1.0,2017 chevrolet corvette grand sport,Runs,ENCLOSED,2023-02-20,262057-73113,"destination: manistique,mi 49854",Nexus AT LLC,(224) 265-0677,dispatch@nexusautotransport.com,99.9,Columbus,Bay City,40.298992,-83.056694,43.609408,-83.945174,02_14_2023_07_23,3.03
1500.0,926.530080281216,1.6189436607872756,2.0,ATV,Angola,NY,14006,old forge,PA,18518,500.0,COD/COP,276.0,1.0,2021 kawasaki krf 1000,Runs,OPEN,2023-02-13,49890230,@copart load/unload please text or call Chris 631-387-2975!!,CVO Logistics Inc,(631) 387-2975,chris@cvautotransport.com,100.0,Buffalo - Niagara Falls,Scranton - Wilkes-Barre,42.636601,-79.027547,41.370639,-75.741114,02_14_2023_08_31,1.81,CAR,GRANGER,IN,46530,PLAINVIEW,NY,11803,1000.0,TWO_BUSINESS_DAYS,725.0,1.0,2022 ferrari sf90 spider,Runs,ENCLOSED,2023-02-16,BS91478,Not specified,Blue Star Auto Movers,(954) 717-9884,dtorres@bluestarautomovers.com,99.9,South Bend - Mishawaka,New York - Northern New Jersey - Long Island,41.733676,-86.122866,40.782376,-73.47405,02_14_2023_08_31,1.38
1600.0,881.6988503555434,1.8146785598674684,2.0,ATV,Angola,NY,14006,old forge,PA,18518,500.0,COD/COP,276.0,1.0,2021 kawasaki krf 1000,Runs,OPEN,2023-02-13,49890230,@copart load/unload please text or call Chris 631-387-2975!!,CVO Logistics Inc,(631) 387-2975,chris@cvautotransport.com,100.0,Buffalo - Niagara Falls,Scranton - Wilkes-Barre,42.636601,-79.027547,41.370639,-75.741114,02_14_2023_08_31,1.81,CAR,Ann Arbor,MI,48103,Vernon Rockville,CT,6066,1100.0,TWO_BUSINESS_DAYS,737.0,1.0,2021 toyota venza,Runs,ENCLOSED,2023-02-18,5816,Load-2/18 (quick pay),"KA Transportation Services, LLC",(214) 794-6443,croehllmiami@gmail.com,100.0,Ann Arbor,Hartford - West Hartford - East Hartford,42.269394,-83.851822,41.836454,-72.463295,02_14_2023_08_31,1.49
1750.0,973.8155529120024,1.7970548886459785,2.0,ATV,Angola,NY,14006,old forge,PA,18518,500.0,COD/COP,276.0,1.0,2021 kawasaki krf 1000,Runs,OPEN,2023-02-13,49890230,@copart load/unload please text or call Chris 631-387-2975!!,CVO Logistics Inc,(631) 387-2975,chris@cvautotransport.com,100.0,Buffalo - Niagara Falls,Scranton - Wilkes-Barre,42.636601,-79.027547,41.370639,-75.741114,02_14_2023_08_31,1.81,SUV,ann arbor,MI,48108,boston,MA,2210,1250.0,COD/COP,806.0,1.0,2022 audi q8- enclosed,Runs,ENCLOSED,2023-02-20,244460 vip,to book email cole@acmecarshipping.com,Acme Auto Shipping,(469) 464-5725 x2,kevin@acmecarshipping.com,100.0,Ann Arbor,Boston - Cambridge - Quincy,42.223407,-83.729175,42.346571,-71.039563,02_14_2023_08_31,1.55
1750.0,973.8155529120024,1.7970548886459785,2.0,ATV,Angola,NY,14006,old forge,PA,18518,500.0,COD/COP,276.0,1.0,2021 kawasaki krf 1000,Runs,OPEN,2023-02-13,49890230,@copart load/unload please text or call Chris 631-387-2975!!,CVO Logistics Inc,(631) 387-2975,chris@cvautotransport.com,100.0,Buffalo - Niagara Falls,Scranton - Wilkes-Barre,42.636601,-79.027547,41.370639,-75.741114,02_14_2023_10_07,1.81,SUV,ann arbor,MI,48108,boston,MA,2210,1250.0,COD/COP,806.0,1.0,2022 audi q8- enclosed,Runs,ENCLOSED,2023-02-20,244460 vip,to book email cole@acmecarshipping.com,Acme Auto Shipping,(469) 464-5725 x2,kevin@acmecarshipping.com,100.0,Ann Arbor,Boston - Cambridge - Quincy,42.223407,-83.729175,42.346571,-71.039563,02_14_2023_10_07,1.55
1750.0,973.8155529120024,1.7970548886459785,2.0,ATV,Angola,NY,14006,old forge,PA,18518,500.0,COD/COP,276.0,1.0,2021 kawasaki krf 1000,Runs,OPEN,2023-02-13,49890230,@copart load/unload please text or call Chris 631-387-2975!!,CVO Logistics Inc,(631) 387-2975,chris@cvautotransport.com,100.0,Buffalo - Niagara Falls,Scranton - Wilkes-Barre,42.636601,-79.027547,41.370639,-75.741114,02_14_2023_11_11,1.81,SUV,ann arbor,MI,48108,boston,MA,2210,1250.0,COD/COP,806.0,1.0,2022 audi q8- enclosed,Runs,ENCLOSED,2023-02-20,244460 vip,to book email cole@acmecarshipping.com,Acme Auto Shipping,(469) 464-5725 x2,kevin@acmecarshipping.com,100.0,Ann Arbor,Boston - Cambridge - Quincy,42.223407,-83.729175,42.346571,-71.039563,02_14_2023_11_11,1.55
1750.0,973.8155529120024,1.7970548886459785,2.0,ATV,Angola,NY,14006,old forge,PA,18518,500.0,COD/COP,276.0,1.0,2021 kawasaki krf 1000,Runs,OPEN,2023-02-13,49890230,@copart load/unload please text or call Chris 631-387-2975!!,CVO Logistics Inc,(631) 387-2975,chris@cvautotransport.com,100.0,Buffalo - Niagara Falls,Scranton - Wilkes-Barre,42.636601,-79.027547,41.370639,-75.741114,02_14_2023_11_33,1.81,SUV,ann arbor,MI,48108,boston,MA,2210,1250.0,COD/COP,806.0,1.0,2022 audi q8- enclosed,Runs,ENCLOSED,2023-02-20,244460 vip,to book email cole@acmecarshipping.com,Acme Auto Shipping,(469) 464-5725 x2,kevin@acmecarshipping.com,100.0,Ann Arbor,Boston - Cambridge - Quincy,42.223407,-83.729175,42.346571,-71.039563,02_14_2023_11_33,1.55
14750.0,2643.435374680534,5.579860261112899,2.0,MOTORCYCLE,Monee,IL,60449,Billings,MT,59101,750.0,COD/COP,1269.0,1.0,2017 victory cross country,Runs,ENCLOSED,2023-02-14,58204,dealer to client ,"National Auto Shipping,Inc",(954) 362-1919,sales@nationalautoshipping.com,99.7,Chicago - Naperville - Joliet,Billings,41.419173,-87.796364,45.66025,-108.384307,02_14_2023_14_00,0.59,CAR,Hamilton,OH,45011,Phoenix,AZ,85054,14000.0,FIVE_BUSINESS_DAYS,1857.0,1.0,2018 porsche 911,Runs,ENCLOSED,2023-02-16,Not specified,Not specified,Porsche North Scottsdale,(480) 538-3831,dzoloto@penskeautomotive.com,94.4,Cincinnati - Middletown,Phoenix - Mesa - Glendale,39.426896,-84.497486,33.683424,-111.95136,02_14_2023_14_00,7.54
