Vehicle Type,Pickup City,Pickup State,Pickup ZIP,Delivery City,Delivery State,Delivery ZIP,Rate,Payment Method,Distance,Veh_qty,Vehicle Info,Vehicle Condition,Trailer Type,Pick-Up Date,Order ID,Additional Info,Company Name,Phone,Email,Rating,Pickup metro area,Delivery metro area,P_lat,P_lon,D_lat,D_lon,Time_first,Time_last
CAR,Dundalk,MD,21222,Shawano,WI,54166,1200,TEN_BUSINESS_DAYS,942,1,1993 tvr chimaera,Runs,ENCLOSED,2023-02-07,11279219,TWIC card needed - Text 954-825-6091,"ShipYourCarNow, LLC",(917) 933-5723,cdfdtest@shipyourcarnow.com,99.7,Baltimore - Towson,Not specified,39.257662,-76.495098,44.753555,-88.668795,02_07_2023_07_19,02_07_2023_14_00
MOTORCYCLE,Denver,CO,80210,Westlake Village,CA,91361,250,COD/COP,1055,1,1990 harley davidson her,Runs,OPEN,2023-02-06,SM-000404,Not specified,Loadmaster Group  Inc,(740) 400-0044,dispatch@loadmg.com,100.0,Denver - Aurora,Oxnard - Thousand Oaks - Ventura,39.675449,-104.964048,34.149552,-118.878212,02_07_2023_07_19,02_07_2023_17_12
MOTORCYCLE,denver,CO,80214,conroe,TX,77384,600,COD/COP,1008,1,2018 bmw k 1600 b,Runs,ENCLOSED,2023-02-07,30467616-nt,call or text at 929 562-1132,Neptune Auto Transport LLC,(929) 758-1002,neptuneautotransportllc@gmail.com,98.9,Denver - Aurora,Houston - Sugar Land - Baytown,39.74299,-105.072022,30.228879,-95.50149,02_07_2023_07_19,02_07_2023_13_00
MOTORCYCLE,Denver,CO,80202,Denver,CO,80202,400,COD/COP,0,1,1994 honda goldwing,Runs,OPEN,2023-02-06,Call only 7867680760,Not specified,Ry Equipment,786-991-6249,fili1030@yahoo.com,98.6,Denver - Aurora,Denver - Aurora,39.752627,-104.998086,39.752627,-104.998086,02_07_2023_07_19,02_07_2023_15_06
MOTORCYCLE,Denver,CO,80022,Elwood,IL,60421,400,COD/COP,985,1,2004 suzuki vl800,Runs,OPEN,2023-02-06,Suzuki,Not specified,SKYY TRANSPORT INC,(773) 644-0963,skyytransport@yahoo.com,99.3,Denver - Aurora,Chicago - Naperville - Joliet,39.87814,-104.776065,41.422956,-88.08317,02_07_2023_07_19,02_07_2023_08_23
MOTORCYCLE,cortez,CO,81321,sanborn,IA,51248,650,COD/COP,1031,1,2011 harley davidson dyna wide glide,Runs,OPEN,2023-02-14,16324,ready call for dispatch,ADL Logistics,(954) 488-2544,dispatch@adllogistics.net,98.4,Not specified,Not specified,37.347179,-108.733778,43.200522,-95.65383,02_07_2023_07_19,02_07_2023_17_12
MOTORCYCLE,Colorado Springs,CO,80911,Auburn,WA,98002,350,COD/COP,1411,1,2007 suzuki gsx,Runs,OPEN,2023-02-09,SM-000359,Agent 2.05,Loadmaster Group  Inc,(740) 400-0044,dispatch@loadmg.com,100.0,Colorado Springs,Seattle - Tacoma - Bellevue,38.747075,-104.730486,47.31005,-122.209182,02_07_2023_07_19,02_07_2023_07_32
MOTORCYCLE,Colorado Springs,CO,80913,Johnson City,TN,37601,300,COD/COP,1422,1,2020 yamaha mt-09,Runs,OPEN,2023-02-19,BSHMW678,Not specified,Bah Logistics LLC,(818) 392-8978,dispatch@bahlogisticsusa.com,100.0,Colorado Springs,Johnson City,38.64318,-104.829924,36.320002,-82.330882,02_07_2023_07_19,02_07_2023_17_12
MOTORCYCLE,Colorado Springs,CO,80913,Greensboro,NC,27409,300,COD/COP,1576,1,2010 yamaha mt-09,Runs,OPEN,2023-02-19,BSHMW678-1,Original delivery- 	TN - Johnson City 37601 ,Bah Logistics LLC,(818) 392-8978,dispatch@bahlogisticsusa.com,100.0,Colorado Springs,Greensboro - High Point,38.64318,-104.829924,36.105506,-79.936434,02_07_2023_07_19,02_07_2023_17_12
MOTORCYCLE,colorado springs,CO,80921,griffin,GA,30224,475,COD/COP,1434,1,1956 sears moped,Runs,OPEN,2023-02-20,3998944-at,ready feb 20,Ultimate Transport 123,(888) 885-9123 x3,dispatch@ultimatetransport123.com,100.0,Colorado Springs,Atlanta - Sandy Springs - Marietta,39.049278,-104.897454,33.1962,-84.273274,02_07_2023_07_19,02_07_2023_17_12
MOTORCYCLE,Aurora,CO,80012,Soquel,CA,95073,300,TWO_BUSINESS_DAYS,1293,1,2021 honda adv150,Runs,ENCLOSED,2023-02-21,29432302-k,tinyurl.com/2mxt2r49,TCI Logistics Inc,(312) 224-8620,kalotranscargo@gmail.com,100.0,Denver - Aurora,Santa Cruz - Watsonville,39.703795,-104.837948,37.032279,-121.943814,02_07_2023_07_19,02_07_2023_17_12
MOTORCYCLE,Woodland Hills,CA,91364,Sebastopol,CA,95472,240,COD/COP,428,1,2005 ducati 620,Runs,OPEN,2023-02-07,BSHEM623,Not specified,Bah Logistics LLC,(818) 392-8978,dispatch@bahlogisticsusa.com,100.0,Los Angeles - Long Beach - Anaheim,Santa Rosa - Petaluma,34.154169,-118.59944,38.401691,-122.87424,02_07_2023_07_19,02_07_2023_13_13
MOTORCYCLE,wofford heights,CA,93285,apple valley,CA,92307,300,COD/COP,185,1,2014 can-am spyder rt spyder rt limited,Runs,ENCLOSED,2023-02-17,16361,call for dispatch,ADL Logistics,(954) 488-2544,dispatch@adllogistics.net,98.4,Bakersfield - Delano,Riverside - San Bernardino - Ontario,35.617279,-118.609837,34.602626,-117.119837,02_07_2023_07_19,02_07_2023_12_34
ATV,Wilmington,CA,90744,Glendale,AZ,85308,400,COD/COP,389,1,1998 twic required honda acty mini-truck,Runs,OPEN,2023-02-06,Not specified,Not specified,Ocmulgee Autosport,(678) 642-2460,boulware@gmail.com,100.0,Los Angeles - Long Beach - Anaheim,Phoenix - Mesa - Glendale,33.778916,-118.25927,33.668148,-112.186201,02_07_2023_07_19,02_07_2023_14_07
MOTORCYCLE,van nuys,CA,91406,suwanee,GA,30024,600,COD/COP,2222,1,2023 suzuki hayabusa,Runs,OPEN,2023-02-06,30575952-uf,no comment,United Freeway Transportation LLC,(610) 756-7472,uftransportation2021@gmail.com,99.8,Los Angeles - Long Beach - Anaheim,Atlanta - Sandy Springs - Marietta,34.196092,-118.492367,34.064899,-84.093288,02_07_2023_07_19,02_07_2023_17_12
ATV,union city,CA,94587,medina,OH,44256,1300,COD/COP,2485,1,2019 polaris ranger crew 570,Inop,OPEN,2023-02-07,overall vehicle size (l x w x h) 142 x 60 x 73 in,1326 pounds,Allied Cable Corporation,(440) 212-0535,sales2@alliedcable.com,100.0,San Francisco - Oakland - Fremont,Cleveland - Elyria - Mentor,37.602056,-122.044443,41.133799,-81.855068,02_07_2023_07_19,02_07_2023_17_12
MOTORCYCLE,thousand oaks,CA,91360,jonesboro,AR,72401,900,COD/COP,1811,1,2022 harley-davidson sportster forty-eight,Runs,ENCLOSED,2023-02-06,78837,Not specified,Dispatch-Dudes,(786) 771-3654,benkats@me.com,100.0,Oxnard - Thousand Oaks - Ventura,Jonesboro,34.213406,-118.88138,35.888104,-90.638038,02_07_2023_07_19,02_07_2023_14_56
MOTORCYCLE,santa barbara,CA,93111,canton,MA,02021,700,COD/COP,3076,1,1996 honda vfr750 motorcycle,Runs,OPEN,2023-02-07,02-465388,call/text dispatch 954-599-5382,Door to Door Transport,(954) 639-9410,info@doortodoortransport.com,99.8,Santa Maria - Santa Barbara,Boston - Cambridge - Quincy,34.454479,-119.80085,42.18271,-71.122104,02_07_2023_07_19,02_07_2023_10_00
MOTORCYCLE,San Marcos,CA,92069,Yuma,AZ,85365,210,COD/COP,198,1,2023 indian springfield dark horse,Runs,OPEN,2023-02-08,11259838,(530) 648-9057 call or text. signed contract.,Sonic Auto Transportation,(530) 648-9041,support@sonic-auto.com,100.0,San Diego - Carlsbad - San Marcos,Yuma,33.187084,-117.158477,32.723264,-114.537883,02_07_2023_07_19,02_07_2023_07_28
MOTORCYCLE,san jose,CA,95138,mountain view,CA,94041,100,COD/COP,14,1,2006 suzuki dl 1000 v-strom,Runs,OPEN,2023-02-07,30577164-uf,no comment,United Freeway Transportation LLC,(610) 756-7472,uftransportation2021@gmail.com,99.8,San Jose - Sunnyvale - Santa Clara,San Jose - Sunnyvale - Santa Clara,37.248212,-121.73568,37.388022,-122.07431,02_07_2023_07_19,02_07_2023_08_23
MOTORCYCLE,San Jose,CA,95127,Tigard,OR,97224,400,TWO_BUSINESS_DAYS,660,1,2021 indian vintage,Runs,ENCLOSED,2023-02-03,0203231,Not specified,V-Twin Express LLC 2,602-791-9297,vtwinx@q.com,100.0,San Jose - Sunnyvale - Santa Clara,Portland - Vancouver - Hillsboro,37.373842,-121.793157,45.405302,-122.798574,02_07_2023_07_19,02_07_2023_17_12
