Vehicle Type,Pickup City,Pickup State,Pickup ZIP,Delivery City,Delivery State,Delivery ZIP,Rate,Payment Method,Distance,Veh_qty,Vehicle Info,Vehicle Condition,Trailer Type,Pick-Up Date,Order ID,Additional Info,Company Name,Phone,Email,Rating,Pickup metro area,Delivery metro area,P_lat,P_lon,D_lat,D_lon,Time_first,Time_last
CAR,beverly,NJ,08010,fayetteville,WV,25840,500,COD/COP,476,1,2020 fiat 124 coupe,Runs,ENCLOSED,2023-02-10,30412569-aa,no comment,Advantage Auto Transport,(954) 254-0704,wisdom92@gmail.com,99.8,Philadelphia - Camden - Wilmington,Not specified,40.048572,-74.916366,38.034008,-81.021452,02_01_2023_06_30,02_01_2023_18_28
CAR,Lufkin,TX,75901,Las Vegas,NV,89044,1000,COD/COP,1390,1,2015 dodge viper,Runs,ENCLOSED,2023-02-01,Viper to Vegas,Not specified,Area 51 Motorsports LLC,(936) 414-2295,area51motorsportsemail@gmail.com,97.6,Not specified,Las Vegas - Paradise,31.267118,-94.638488,35.940321,-115.097277,02_01_2023_06_30,02_01_2023_07_37
CAR,Lubbock,TX,79402,Jacksonville,FL,32203,1325,TEN_BUSINESS_DAYS,1346,1,2023 bmw m4,Runs,ENCLOSED,2023-01-31,to port TWIC required. NO escorts,Not specified,R & R Freight Logistics LLC,(423) 762-7165,randrfreightlogistics@gmail.com,100.0,Lubbock,Jacksonville,33.5817,-101.8496,30.3388,-81.6714,02_01_2023_06_30,02_01_2023_06_58
SUV,leander,TX,78641,aloha,OR,97007,1600,COD/COP,2194,1,2021 tesla y- enclosed,Runs,ENCLOSED,2023-02-07,243250 vip,to book email cole@acmecarshipping.com,Acme Auto Shipping,(469) 464-5725 x2,kevin@acmecarshipping.com,100.0,Austin - Round Rock - San Marcos,Portland - Vancouver - Hillsboro,30.534332,-97.913525,45.446188,-122.882264,02_01_2023_06_30,02_01_2023_18_28
CAR,leander,TX,78641,greenville,SC,29615,850,COD/COP,1071,1,2019 mazda mx-5 miata,Runs,ENCLOSED,2023-02-06,1713027,Not specified,Montway LLC,(224) 220-0003,dispatch@montway.com,100.0,Austin - Round Rock - San Marcos,Greenville - Mauldin - Easley,30.534332,-97.913525,34.859824,-82.294004,02_01_2023_06_30,02_01_2023_18_28
CAR,leander,TX,78641,gastonia,NC,28052,850,COD/COP,1185,1,2019 mazda mx-5 miata,Runs,ENCLOSED,2023-02-06,1714056,"actual del in greenville,sc 29615.",Montway LLC,(224) 220-0003,dispatch@montway.com,100.0,Austin - Round Rock - San Marcos,Charlotte - Gastonia - Rock Hill,30.534332,-97.913525,35.229809,-81.242912,02_01_2023_06_30,02_01_2023_18_28
CAR,killeen,TX,76542,watertown,NY,13601,1100,COD/COP,1740,1,2014 ford mustang,Runs,ENCLOSED,2023-02-10,28191,have contract full pmt 702-342-1058,American Auto Shipping,(702) 342-1058,dispatch@americanautoshipping.com,100.0,Killeen - Temple - Fort Hood,Not specified,30.999672,-97.779448,43.988667,-75.905714,02_01_2023_06_30,02_01_2023_18_28
PICKUP,Kempner,TX,76539,Berthoud,CO,80513,900,COD/COP,901,1,2000 gmc sierra 1500,Runs,ENCLOSED,2023-01-31,Not specified,Not specified,Texas Street Cars LLC,(254) 383-3517,txstreetcars.jason@gmail.com,100.0,Killeen - Temple - Fort Hood,Fort Collins - Loveland,31.095876,-98.002333,40.29331,-105.109739,02_01_2023_06_30,02_01_2023_10_12
CAR,Hurst,TX,76053,Clermont,FL,34711,650,COD/COP,1128,1,2015 lamborghini huracan,Runs,ENCLOSED,2023-02-01,11220173,text John 512 615 9866 / dealer 02/01,GP Auto Logistics,(512) 503-1654,info@gpautologistics.com,98.4,Dallas - Fort Worth - Arlington,Orlando - Kissimmee - Sanford,32.805899,-97.173304,28.519622,-81.748256,02_01_2023_06_30,02_01_2023_18_28
SUV,Houston,TX,77201,Visalia,CA,93277,1400,TEN_BUSINESS_DAYS,1737,1,2023 rolls-royce cullinan,Runs,ENCLOSED,2023-01-31,164317,Ready at the end of day on Tuesday,Dealers Choice Auto Transport,(561) 686-5225,info@dcat.com,99.7,Houston - Sugar Land - Baytown,Visalia - Porterville,29.7655,-95.3592,36.294675,-119.381281,02_01_2023_06_30,02_01_2023_07_11
