Vehicle Type,Pickup City,Pickup State,Pickup ZIP,Delivery City,Delivery State,Delivery ZIP,Rate,Payment Method,Distance,Veh_qty,Vehicle Info,Vehicle Condition,Trailer Type,Pick-Up Date,Order ID,Additional Info,Company Name,Phone,Email,Rating,Pickup metro area,Delivery metro area,P_lat,P_lon,D_lat,D_lon,Time_first,Time_last
CAR,memphis,TN,38117,kerrville,TX,78028,900,COD/COP,751,1,2019 chevrolet corvette,Runs,ENCLOSED,2023-01-31,1692970,Not specified,Montway LLC,(224) 220-0003,dispatch@montway.com,100.0,Memphis,Not specified,35.115055,-89.907013,30.017136,-99.140252,01_31_2023_05_21,01_31_2023_11_52
CAR,Jacksonville,FL,32225,Sachse,TX,75048,750,FIVE_BUSINESS_DAYS,1012,1,1987 ford mustang,Runs,ENCLOSED,2023-02-02,C8314,Not specified,Tempus Logix 2,(818) 942-7020,dispatchtempuslogix@gmail.com,100.0,Jacksonville,Dallas - Fort Worth - Arlington,30.3539,-81.499068,32.968169,-96.581972,01_31_2023_05_21,01_31_2023_16_54
CAR,Jacksonville,FL,32256,Las Vegas,NV,89135,1500,COD/COP,2274,1,2022 chrysler 300c 5.7l hemi,Runs,ENCLOSED,2023-01-30,11153336,call or text jon for dispatch 5613094774,"American Car Transporters, Inc",(561) 571-9699,dispatch@americancartransporters.com,99.9,Jacksonville,Las Vegas - Paradise,30.181,-81.518228,36.12114,-115.350771,01_31_2023_05_21,01_31_2023_16_54
CAR,Jacksonville,FL,32216,Sterling,VA,20163,1600,COD/COP,723,1,1970 ferrari daytona,Runs,ENCLOSED,2023-01-31,1053179176,Book on super-lb.com/yqp0eV,CSL Transport,(629) 221-0678,cslauto@mac.com,98.2,Jacksonville,Washington - Arlington - Alexandria,30.27907,-81.586122,39.006,-77.429,01_31_2023_05_21,01_31_2023_07_30
CAR,fort lauderdale,FL,33311,san diego,CA,92154,1300,COD/COP,2642,1,2017 lamborghini aventador,Runs,ENCLOSED,2023-01-30,1713621,Not specified,Montway LLC,(224) 220-0003,dispatch@montway.com,100.0,Miami - Fort Lauderdale - Pompano Beach,San Diego - Carlsbad - San Marcos,26.143764,-80.17348,32.567848,-116.990264,01_31_2023_05_21,01_31_2023_09_17
CAR,Clearwater,FL,33763,Reno,NV,89509,2200,COD/COP,2742,1,2017 cadillac ct6,Runs,ENCLOSED,2023-01-30,Not specified,TEXT 7276473054 NEED OUR NAME ON INSURANCE ACORD/W9,Larry Dimmitt Cadillac,727-797-7070,kstella@dimmitt.com,96.9,Tampa - St. Petersburg - Clearwater,Reno - Sparks,28.01203,-82.746232,39.497002,-119.828246,01_31_2023_05_21,01_31_2023_07_12
CAR,Cape Coral,FL,33991,Idaho Falls,ID,83406,1900,COD/COP,2529,1,1950 pontiac gasser,Runs,ENCLOSED,2023-01-30,301157203,CALL 516-544-4044 EXT 105,Number 1 Auto Transport Group Inc.,(516) 544-4044,dispatch@number1autotransport.com,100.0,Cape Coral - Fort Myers,Idaho Falls,26.632738,-82.017936,43.433913,-111.898,01_31_2023_05_21,01_31_2023_08_39
SUV,bradenton,FL,34207,eagle mountain,UT,84005,1400,COD/COP,2448,1,2023 kia telluride,Runs,ENCLOSED,2023-01-30,30911292-us,call or text 865-730-9002 asap,US Star Trucking LLC,(865) 730-4992,usstartrucking@gmail.com,99.7,North Port - Bradenton - Sarasota,Provo - Orem,27.437405,-82.577601,40.321532,-112.004986,01_31_2023_05_21,01_31_2023_16_54
CAR,Litchfield,CT,06759,Houston,TX,77037,1800,COD/COP,1736,1,1967 ford fairlane xl500,Runs,ENCLOSED,2023-01-31,AU-456 *ENCLOSED TRAILER,GROUP TEXT LaShawn (281) 254-3400 and Sean (281) 541-1366,Attractions Unlimited Auto Brokers,(281) 345-8000,office.attractionsunlimited@gmail.com,99.8,Not specified,Houston - Sugar Land - Baytown,41.75564,-73.218392,29.900771,-95.389418,01_31_2023_05_21,01_31_2023_13_59
CAR,Milford,CT,06460,Ludington,MI,49431,900,COD/COP,908,1,1977 pontiac lemans,Runs,ENCLOSED,2023-01-31,mike 77 can am,Not specified,Napoli Indoor Auto Outlet,203-668-7797,gto9@aol.com,100.0,New Haven - Milford,Not specified,41.210994,-73.05192,43.962354,-86.397766,01_31_2023_05_21,01_31_2023_16_54
CAR,New Canaan,CT,06840,Roswell,GA,30076,1100,COD/COP,930,1,2023 bmw 5 series,Runs,ENCLOSED,2023-02-01,BMW-CT-GA,Call (M-F 8-8 EST) or text (try to answer 24/7) 205 898 2288,Autoship,(754) 444-6640,theautoship@gmail.com,100.0,Bridgeport - Stamford - Norwalk,Atlanta - Sandy Springs - Marietta,41.162414,-73.502092,34.024887,-84.311908,01_31_2023_05_21,01_31_2023_15_58
CAR,Indialantic,FL,32903,Little Compton,RI,02837,900,FIVE_BUSINESS_DAYS,1326,1,1962 porsche 912,Runs,ENCLOSED,2023-01-31,Not specified,Not specified,Diamand Transportation Inc,(508) 530-2474,diamandtrans@gmail.com,100.0,Palm Bay - Melbourne - Titusville,Providence - New Bedford - Fall River,28.107708,-80.580642,41.50857,-71.164533,01_31_2023_05_21,01_31_2023_16_45
