Vehicle Type,Pickup City,Pickup State,Pickup ZIP,Delivery City,Delivery State,Delivery ZIP,Rate,Payment Method,Distance,Veh_qty,Vehicle Info,Vehicle Condition,Trailer Type,Pick-Up Date,Order ID,Additional Info,Company Name,Phone,Email,Rating,Pickup metro area,Delivery metro area,P_lat,P_lon,D_lat,D_lon,Time_first,Time_last
ATV,Pass Christian,MS,39571,Rushville,IN,46173,550,COD/COP,777,1,2023 golf car,Runs,OPEN,2023-01-24,F17,Call Rick 3052241493 or     TEXT Text (201) 589-2395  ,Freight Connect Logistics LLC,(719) 426-3244,info@freightconnectlogistics.com,93.1,Gulfport - Biloxi,Not specified,30.448583,-89.272565,39.603096,-85.422931,01_27_2023_08_41,01_27_2023_15_48
SUV,montgomery,TX,77356,new york,NY,10028,950,COD/COP,1642,1,2013 buick encore,Runs,ENCLOSED,2023-01-29,1709662,Not specified,Montway LLC,(224) 220-0003,dispatch@montway.com,100.0,Houston - Sugar Land - Baytown,New York - Northern New Jersey - Long Island,30.450534,-95.704768,40.776127,-73.952597,01_27_2023_08_41,01_27_2023_12_29
CAR,dallas,TX,75201,raleigh,NC,27605,1000,COD/COP,1192,1,2021 porsche 911,Runs,ENCLOSED,2023-02-06,111548,Not specified,McCollister's Brokerage Services Inc,(609) 699-7010,maldispatch@mccollisters.com,100.0,Dallas - Fort Worth - Arlington,Raleigh - Cary,32.787706,-96.79985,35.790371,-78.652752,01_27_2023_08_41,01_27_2023_15_48
CAR,El Paso,TX,79925,Saint Louis,MO,63134,1300,COD/COP,1221,1,2008 chevrolet corvette,Runs,ENCLOSED,2023-02-03,981257,http:iTruckify.com/xjcj3 text 9728483674,Car Delivery USA Inc,(305) 501-2688,daniel@alldayautotransport.com,99.3,El Paso,St. Louis,31.790819,-106.376901,38.743803,-90.341562,01_27_2023_08_41,01_27_2023_15_48
CAR,fort worth,TX,76132,miramar,FL,33025,950,COD/COP,1332,1,2021 mercedes-benz s-class,Runs,ENCLOSED,2023-01-26,5000,text only 954-531-7233,First Class Auto Transport Corp.,Accounting 954-701-2996,nicole@firstclassautotransporters.com,97.7,Dallas - Fort Worth - Arlington,Miami - Fort Lauderdale - Pompano Beach,32.670747,-97.415816,25.98295,-80.279457,01_27_2023_08_41,01_27_2023_11_03
CAR,frisco,TX,75033,madison,WI,53715,700,COD/COP,966,1,2017 infiniti q50,Runs,ENCLOSED,2023-02-10,145247,Not specified,SGT Auto Transport,(864) 546-5038,sgtautotransport@gmail.com,99.9,Dallas - Fort Worth - Arlington,Madison,33.182727,-96.846311,43.061918,-89.397477,01_27_2023_08_41,01_27_2023_15_48
SUV,Georgetown,TX,78628,Bradenton,FL,34205,1065,TEN_BUSINESS_DAYS,1195,1,2021 jeep grand cherokee,Runs,ENCLOSED,2023-02-02,64950,Not specified,4 Corners Transport Services,(360) 210-7665,info@fourcornerstransportservices.com,100.0,Austin - Round Rock - San Marcos,North Port - Bradenton - Sarasota,30.646476,-97.755772,27.485396,-82.583414,01_27_2023_08_41,01_27_2023_11_47
CAR,Gilmer,TX,75644,Costa Mesa,CA,92628,250,FIFTEEN_BUSINESS_DAYS,1562,1,2022 4 tires,Runs,ENCLOSED,2023-01-24,162944,Book on super-lb.com/VgD1NP,Dealers Choice Auto Transport,(561) 686-5225,info@dcat.com,99.7,Longview,Los Angeles - Long Beach - Anaheim,32.774854,-94.989067,33.6414,-117.9178,01_27_2023_08_41,01_27_2023_15_29
CAR,Granbury,TX,76048,Amarillo,TX,79106,600,COD/COP,356,1,2008 chevrolet corvette,Runs,ENCLOSED,2023-01-31,11038040,Ready to go,Shiplux LLC,(305) 517-3456,admin@shiplux.com,100.0,Not specified,Amarillo,32.411331,-97.803952,35.207559,-101.890256,01_27_2023_08_41,01_27_2023_15_48
CAR,grapevine,TX,76051,Mission,TX,78572,400,FIVE_BUSINESS_DAYS,539,1,2023 mercedes-benz e-class sedan,Runs,ENCLOSED,2023-01-26,17467,Call 214-355-6631 or 972-948-7332,Auto Shippers USA Inc,(972) 487-9100,ssosa@autoshippersusa.com,100.0,Dallas - Fort Worth - Arlington,McAllen - Edinburg - Mission,32.93529,-97.068689,26.298168,-98.421234,01_27_2023_08_41,01_27_2023_14_13
