Vehicle Type,Pickup City,Pickup State,Pickup ZIP,Delivery City,Delivery State,Delivery ZIP,Rate,Payment Method,Distance,Veh_qty,Vehicle Info,Vehicle Condition,Trailer Type,Pick-Up Date,Order ID,Additional Info,Company Name,Phone,Email,Rating,Pickup metro area,Delivery metro area,P_lat,P_lon,D_lat,D_lon,Time_first,Time_last
CAR,Shawnee,KS,66203,Claremore,OK,74017,800,COD/COP,213,1,2022 alfa romeo stelvio,Runs,ENCLOSED,2023-01-25,301156669,CALL 516-544-4044 EXT 105,Number 1 Auto Transport Group Inc.,(516) 544-4044,dispatch@number1autotransport.com,100.0,Kansas City,Tulsa,39.018455,-94.694145,36.394122,-95.571712,01_25_2023_08_12,01_25_2023_08_15
CAR,woodstock,IL,60098,mc cool junction,NE,68401,650,COD/COP,551,1,2007 ford mustang,Runs,ENCLOSED,2023-01-24,1709223,Not specified,Montway LLC,(224) 220-0003,dispatch@montway.com,100.0,Chicago - Naperville - Joliet,Not specified,42.322091,-88.467115,40.741987,-97.597157,01_25_2023_08_12,01_25_2023_09_44
CAR,fort wayne,IN,46805,hammond,LA,70403,900,COD/COP,932,1,1923 ford t bucket,Runs,ENCLOSED,2023-01-26,30451952-ml,9732459394,Mate Logistics Inc,(929) 578-7828,info@matelogisticss.com,100.0,Fort Wayne,Not specified,41.098595,-85.118408,30.474164,-90.469878,01_25_2023_08_12,01_25_2023_15_58
CAR,fort wayne,IN,46805,hammond,LA,70403,900,COD/COP,932,1,1923 ford t bucket,Runs,ENCLOSED,2023-01-25,30684587-bw,asap 9294195664 it is very light car runs and drives,Brookwide Inc,(929) 592-3070,autodispatch@brookwide.com,99.8,Fort Wayne,Not specified,41.098595,-85.118408,30.474164,-90.469878,01_25_2023_08_12,01_25_2023_15_58
CAR,GRANGER,IN,46530,PLAINVIEW,NY,11803,1000,TWO_BUSINESS_DAYS,725,1,2022 ferrari sf90 spider,Runs,ENCLOSED,2023-01-25,BS91478,Not specified,Blue Star Auto Movers,(954) 717-9884,dtorres@bluestarautomovers.com,99.9,South Bend - Mishawaka,New York - Northern New Jersey - Long Island,41.733676,-86.122866,40.782376,-73.47405,01_25_2023_08_12,01_25_2023_09_54
CAR,Indianapolis,IN,46201,Jacksonville,FL,32099,780,COD/COP,877,1,1972 chevrolet monte carlo,Runs,ENCLOSED,2023-01-25,11035356,"fast dispatch text to 346.394.8189 pick up  Cincinnati, OH",GP Auto Logistics,(346) 660-3775,info@gpautologistics.com,98.4,Indianapolis - Carmel,Jacksonville,39.775737,-86.109626,30.3383,-81.7706,01_25_2023_08_12,01_25_2023_10_45
PICKUP,Indianapolis,IN,46202,Jonesborough,TN,37659,500,COD/COP,419,1,1967 ford 100,Runs,ENCLOSED,2023-01-25,11144347,"fast dispatch text to 346-394-8189 Pick up Dayton, OH",GP Auto Logistics,(346) 660-3775,info@gpautologistics.com,98.4,Indianapolis - Carmel,Johnson City,39.780667,-86.16635,36.285561,-82.472923,01_25_2023_08_12,01_25_2023_10_42
CAR,indianapolis,IN,46201,sandston,VA,23150,650,COD/COP,687,1,1959 mg mga,Inop,ENCLOSED,2023-01-27,114106,actual pu: bellbrook oh 45305,Safemile Auto Transport,(757) 271-8111,dispatch@safemileautotransport.com,100.0,Indianapolis - Carmel,Richmond,39.775737,-86.109626,37.503766,-77.263513,01_25_2023_08_12,01_25_2023_15_58
CAR,leesburg,IN,46538,lenexa,KS,66215,800,TWO_BUSINESS_DAYS,626,1,2022 dodge challenger,Runs,ENCLOSED,2023-01-25,46538,Hardside. Business to Business. Zelle. Ready,Incognito Express LLC,(254) 542-7804,incognitoexpress@yahoo.com,100.0,Not specified,Kansas City,41.321748,-85.83082,38.950621,-94.740082,01_25_2023_08_12,01_25_2023_15_58
CAR,fort wayne,IN,46805,hammond,LA,70403,1000,COD/COP,932,1,1923 ford t bucket,Runs,ENCLOSED,2023-01-25,31071218-ee,call or text 5165595544 dealership2p,Elite Auto Shipping,(516) 559-5542 x5,serge@eliteautoshipping.com,99.6,Fort Wayne,Not specified,41.098595,-85.118408,30.474164,-90.469878,01_25_2023_08_12,01_25_2023_15_58
