Vehicle Type,Pickup City,Pickup State,Pickup ZIP,Delivery City,Delivery State,Delivery ZIP,Rate,Payment Method,Distance,Veh_qty,Vehicle Info,Vehicle Condition,Trailer Type,Pick-Up Date,Order ID,Additional Info,Company Name,Phone,Email,Rating,Pickup metro area,Delivery metro area,P_lat,P_lon,D_lat,D_lon,Time_first,Time_last
PICKUP,euclid,OH,44132,rosenberg,TX,77471,800,COD/COP,1346,1,1973 chevrolet 1500,Inop,ENCLOSED,2023-02-06,30431549-st,no comment,SAFEEDS TRANSPORT INC,(315) 314-4337,info@safeeds.us,100.0,Cleveland - Elyria - Mentor,Houston - Sugar Land - Baytown,41.608234,-81.500969,29.533493,-95.866021,02_03_2023_08_42,02_03_2023_14_50
CAR,Las Cruces,NM,88005,Aiken,SC,29801,1000,COD/COP,1650,1,2018 mercedes-benz mercedes-amg gt coupe,Runs,ENCLOSED,2023-02-15,20gts,Payment will be made by Zelle or company check,A 1 Mobile Detail Service,(706) 834-6010,a1mds@comcast.net,96.1,Las Cruces,Augusta - Richmond County,32.283761,-107.002487,33.601929,-81.661132,02_03_2023_08_42,02_03_2023_14_50
CAR,farmington,NM,87401,idaho falls,ID,83404,1000,COD/COP,656,1,2022 dirt track modified devillbiss xr1 chassis race car,Runs,ENCLOSED,2023-01-18,30536958-uf,610 756-7379 asap,United Freeway Transportation LLC,(610) 756-7472,uftransportation2021@gmail.com,99.8,Farmington,Idaho Falls,36.464714,-108.139779,43.42792,-111.973144,02_03_2023_08_42,02_03_2023_14_50
CAR,clovis,NM,88101,ono,PA,17077,1200,COD/COP,1670,1,1969 porsche 912,Inop,ENCLOSED,2023-02-06,31081912ee,calltext 917-751-6737 for dispatch,Elite Auto Shipping,(516) 559-5542 x5,serge@eliteautoshipping.com,99.6,Not specified,Lebanon,34.509263,-103.280274,40.405241,-76.534158,02_03_2023_08_42,02_03_2023_10_08
CAR,albuquerque,NM,87120,manorville,NY,11949,1650,COD/COP,2094,1,2003 subaru impreza,Runs,ENCLOSED,2023-02-06,1716199,Not specified,Montway LLC- Relocation,(224) 300-5401,vip@montway.com,100.0,Albuquerque,New York - Northern New Jersey - Long Island,35.123559,-106.761221,40.865988,-72.781384,02_03_2023_08_42,02_03_2023_09_53
CAR,albuquerque,NM,87120,manorville,NY,11949,1600,COD/COP,2094,1,2003 subaru impreza,Runs,ENCLOSED,2023-02-06,1716199,Not specified,Montway LLC- Relocation,(224) 300-5401,vip@montway.com,100.0,Albuquerque,New York - Northern New Jersey - Long Island,35.123559,-106.761221,40.865988,-72.781384,02_03_2023_08_42,02_03_2023_08_42
CAR,albuquerque,NM,87120,manorville,NY,11949,1750,COD/COP,2094,1,2003 subaru impreza,Runs,ENCLOSED,2023-02-06,1710061,Not specified,Montway LLC- Relocation,(224) 300-5401,vip@montway.com,100.0,Albuquerque,New York - Northern New Jersey - Long Island,35.123559,-106.761221,40.865988,-72.781384,02_03_2023_08_42,02_03_2023_10_53
CAR,albuquerque,NM,87120,bronx,NY,10451,1750,COD/COP,2041,1,2003 subaru impreza,Runs,ENCLOSED,2023-02-06,1713400,"actual del in manorville,ny 11949.",Montway LLC- Relocation,(224) 300-5401,vip@montway.com,100.0,Albuquerque,New York - Northern New Jersey - Long Island,35.123559,-106.761221,40.818953,-73.920406,02_03_2023_08_42,02_03_2023_09_53
CAR,Albuquerque,NM,87109,Manchester,NH,03109,2400,COD/COP,2262,1,1991 alfa romeo spyder,Runs,ENCLOSED,2023-02-11,11134452,must deliver after 2/19,AmeriFreight,(770) 574-4436,dispatchfax@amerifreight.net,99.9,Albuquerque,Manchester - Nashua,35.151192,-106.570022,42.969391,-71.404463,02_03_2023_08_42,02_03_2023_14_50
CAR,albuquerque,NM,87123,lake havasu city,AZ,86403,350,COD/COP,539,1,1952 mg mgtd,Runs,ENCLOSED,2023-01-31,30457657-ug,call or text 786-788-0342,United Global Assets Inc,(786) 785-7009,mywaydhighway91@live.com,99.2,Albuquerque,Lake Havasu City - Kingman,35.064328,-106.471246,34.47537,-114.340188,02_03_2023_08_42,02_03_2023_13_09
CAR,albuquerque,NM,87111,plain city,OH,43064,1800,COD/COP,1447,1,1964 ford falcon sprint v8 convertible- enclosed,Runs,ENCLOSED,2023-02-09,243897 vip,to book email cole@acmecarshipping.com,Acme Auto Shipping,(469) 464-5725 x2,kevin@acmecarshipping.com,100.0,Albuquerque,Columbus,35.129602,-106.49471,40.110352,-83.283945,02_03_2023_08_42,02_03_2023_10_37
CAR,Boulder City,NV,89005,Portland,OR,97229,1000,FIVE_BUSINESS_DAYS,1053,1,1969 chevrolet corvette,Runs,ENCLOSED,2023-02-07,2957,Not specified,Safe Way Auto Trans,(270) 388-4657,paul.mullen@safewayautotransport.com,99.8,Las Vegas - Paradise,Portland - Vancouver - Hillsboro,35.92822,-114.832658,45.554376,-122.811306,02_03_2023_08_42,02_03_2023_14_50
CAR,Williamstown,NJ,08094,Prairie Grove,AR,72753,1050,COD/COP,1288,1,1972 dodge dart,Runs,ENCLOSED,2023-02-06,UP20519 uship payment,Not specified,Tempus Logix,(818) 942-7020,dispatchtempuslogix@gmail.com,100.0,Philadelphia - Camden - Wilmington,Fayetteville - Springdale - Rogers,39.639721,-74.973074,35.909708,-94.310825,02_03_2023_08_42,02_03_2023_14_50
CAR,Westwood,NJ,07675,Miami,FL,33101,1005,TEN_BUSINESS_DAYS,1309,1,2009 porsche cayman s,Runs,ENCLOSED,2023-02-14,11246784,"deliver Murrells Inlet, SC 29576",All American Trucking & Transport Inc,(650) 443-2020,dispatch@moveauto.com,100.0,New York - Northern New Jersey - Long Island,Miami - Fort Lauderdale - Pompano Beach,41.009864,-74.007072,25.7738,-80.1936,02_03_2023_08_42,02_03_2023_14_50
CAR,Westwood,NJ,07675,Columbia,SC,29201,1005,TEN_BUSINESS_DAYS,751,1,2009 porsche cayman s,Runs,ENCLOSED,2023-02-14,11246768,"deliver Murrells Inlet, SC 29576",All American Trucking & Transport Inc,(650) 443-2020,dispatch@moveauto.com,100.0,New York - Northern New Jersey - Long Island,Columbia,41.009864,-74.007072,33.986628,-81.024826,02_03_2023_08_42,02_03_2023_14_50
CAR,union,NJ,07083,lake worth,FL,33449,1000,FIFTEEN_BUSINESS_DAYS,1225,1,2023 mercedes-benz e-class cabriolet,Runs,ENCLOSED,2023-02-08,9316,Not specified,Executive Auto Transport LLC,(774) 304-1197,executive.autotrans@gmail.com,99.9,New York - Northern New Jersey - Long Island,Miami - Fort Lauderdale - Pompano Beach,40.693475,-74.267224,26.597547,-80.238442,02_03_2023_08_42,02_03_2023_08_53
CAR,totowa,NJ,07511,hardeeville,SC,29927,600,COD/COP,798,1,1979 chevrolet corvette coupe,Runs,ENCLOSED,2023-02-06,3933301-at,ready feb 6th,Ultimate Transport 123,(888) 885-9123 x3,dispatch@ultimatetransport123.com,100.0,New York - Northern New Jersey - Long Island,Not specified,40.9169,-74.1723,32.251824,-81.021977,02_03_2023_08_42,02_03_2023_09_45
CAR,teaneck,NJ,07666,richmond,TX,77407,1400,COD/COP,1663,1,2023 porsche taycan,Runs,ENCLOSED,2023-02-17,366724,call/text 954-246-3732,Nationwide Transport Services LLC,(754) 732-0333,central@nationwidetransportservices.com,100.0,New York - Northern New Jersey - Long Island,Houston - Sugar Land - Baytown,40.888461,-74.012066,29.667837,-95.722106,02_03_2023_08_42,02_03_2023_14_50
CAR,south amboy,NJ,08879,seattle,WA,98102,2000,COD/COP,2897,1,2020 subaru forester cvt,Runs,ENCLOSED,2023-02-13,1378898,ach or net 20,Reindeer Logistics LLC,(800) 548-4020,stephen.mackay@reindeerauto.com,99.4,New York - Northern New Jersey - Long Island,Seattle - Tacoma - Bellevue,40.467406,-74.275836,47.635749,-122.324362,02_03_2023_08_42,02_03_2023_14_50
CAR,Sewell,NJ,08080,Fayetteville,AR,72704,1100,COD/COP,1270,1,2018 dodge challenger,Runs,ENCLOSED,2023-02-03,Not specified,Not specified,Car Effex,(856) 498-8493,mlayton@careffex.com,100.0,Philadelphia - Camden - Wilmington,Fayetteville - Springdale - Rogers,39.762752,-75.120951,36.107636,-94.303874,02_03_2023_08_42,02_03_2023_14_50
SUV,Rahway,NJ,07065,Atlanta,GA,30328,750,COD/COP,868,1,2017 bentley bentayga,Runs,ENCLOSED,2023-02-03,11152887,James (404) 446-3921 Ready asap,USA Carship Inc,(404) 835-7997,info@usacarship.com,96.9,New York - Northern New Jersey - Long Island,Atlanta - Sandy Springs - Marietta,40.608682,-74.280353,33.934558,-84.395657,02_03_2023_08_42,02_03_2023_14_50
CAR,Paramus,NJ,07652,Medfield,MA,02052,400,FIVE_BUSINESS_DAYS,211,1,2017 audi r8,Runs,ENCLOSED,2023-02-06,Call 401 215 7270 VW 170,Not specified,JTD Logistics LLC,(513) 313-6150,matts@jtdlogistics.com,99.8,New York - Northern New Jersey - Long Island,Boston - Cambridge - Quincy,40.94459,-74.070169,42.182364,-71.310053,02_03_2023_08_42,02_03_2023_14_50
CAR,North Bergen,NJ,07047,Savannah,GA,31404,950,COD/COP,810,1,1995 jaguar xjs,Runs,ENCLOSED,2023-02-02,adlerto ga ENCLOSED,"Vehicle Can't be delivered before February 9, 2023",AUTO CARRY NJ LLC,(201) 422-0600,autocarry27@yahoo.com,100.0,New York - Northern New Jersey - Long Island,Savannah,40.790389,-74.020966,32.048553,-81.048342,02_03_2023_08_42,02_03_2023_14_50
CAR,Westwood,NJ,07675,Murrells Inlet,SC,29576,1005,TEN_BUSINESS_DAYS,707,1,2009 porsche cayman s,Runs,ENCLOSED,2023-02-14,11246765,Not specified,All American Trucking & Transport Inc,(650) 443-2020,dispatch@moveauto.com,100.0,New York - Northern New Jersey - Long Island,Myrtle Beach - Conway - North Myrtle Beach,41.009864,-74.007072,33.563028,-79.054258,02_03_2023_08_42,02_03_2023_14_50
CAR,Carson City,NV,89701,Gardena,CA,90248,650,COD/COP,455,1,2023 canam outlander,Runs,ENCLOSED,2023-02-02,0202ATV Call or text at 2138581293,Dealer to warehouse. Call / text only at 213-858-1293 ,Uscars Transport LLC,(424) 292-3700,dispatch@uscarstransport.com,100.0,Carson City,Los Angeles - Long Beach - Anaheim,39.148441,-119.662901,33.88136,-118.285595,02_03_2023_08_42,02_03_2023_12_15
SUV,elko,NV,89801,bismarck,ND,58501,1350,COD/COP,1124,1,2009 subaru tribeca,Runs,ENCLOSED,2023-02-03,29888,have contract full pmt 702-342-1058,American Auto Shipping,(702) 342-1058,dispatch@americanautoshipping.com,100.0,Not specified,Bismarck,41.177457,-115.892493,46.822464,-100.718953,02_03_2023_08_42,02_03_2023_14_50
PICKUP,Elko,NV,89801,Boulder,CO,80301,800,COD/COP,780,1,2012 gmc sierra 3500 extended cab,Runs,ENCLOSED,2023-02-03,10680434,Mike Ross|| 404-806-6951|| Ready to dispatch,USA Carship Inc,(404) 835-7997,info@usacarship.com,96.9,Not specified,Boulder,41.177457,-115.892493,40.048024,-105.206798,02_03_2023_08_42,02_03_2023_14_50
SUV,Reno,NV,89501,Kennesaw,GA,30144,1200,COD/COP,2412,1,2020 mercedes-benz gle-class,Runs,ENCLOSED,2023-02-03,10745998,text fast dispatch 9724335172,GP Auto Logistics,(512) 503-1654,info@gpautologistics.com,98.4,Reno - Sparks,Atlanta - Sandy Springs - Marietta,39.528492,-119.804313,34.033302,-84.597721,02_03_2023_08_42,02_03_2023_14_40
PICKUP,reno,NV,89501,atlanta,GA,30301,2200,COD/COP,2397,1,2018 toyota tundra,Runs,ENCLOSED,2023-02-06,r565796,-,AM3 Freight Operations,(516) 719-2887,dispatch@v2logistics.com,99.4,Reno - Sparks,Atlanta - Sandy Springs - Marietta,39.528492,-119.804313,33.7486,-84.3884,02_03_2023_08_42,02_03_2023_09_39
