Vehicle Type,Pickup City,Pickup State,Pickup ZIP,Delivery City,Delivery State,Delivery ZIP,Rate,Payment Method,Distance,Veh_qty,Vehicle Info,Vehicle Condition,Trailer Type,Pick-Up Date,Order ID,Additional Info,Company Name,Phone,Email,Rating,Pickup metro area,Delivery metro area,P_lat,P_lon,D_lat,D_lon,Time_first,Time_last
CAR,fort lauderdale,FL,33319,Spicewood,TX,78669,950,COD/COP,1347,1,2016 mclaren 570s,Runs,ENCLOSED,2023-01-31,Not specified,TEXT 631-703-7377,JerHer Logistics Inc,(631) 703-7377,jerherlogistics@gmail.com,100.0,Miami - Fort Lauderdale - Pompano Beach,Austin - Round Rock - San Marcos,26.182712,-80.229844,30.426811,-98.124323,02_02_2023_06_41,02_02_2023_07_48
SUV,Buffalo,NY,14221,Castroville,CA,95012,2201,COD/COP,2746,1,2022 cadillac escalade,Runs,ENCLOSED,2023-02-02,11010343,dealer to residence,Ship A Car Inc.,(954) 317-5892,info@shipacarinc.com,100.0,Buffalo - Niagara Falls,Salinas,42.98525,-78.722374,36.78009,-121.742032,02_02_2023_06_41,02_02_2023_08_26
CAR,Buffalo,NY,14221,Ft Lauderdale,FL,33314,1500,COD/COP,1372,1,2009 cadillac xlr,Runs,ENCLOSED,2023-02-02,3731E - Broker Elwood 503-380-7566 call or text,Not specified,Total Care Trans,(816) 326-7290,nate@totalcaretrans.com,99.9,Buffalo - Niagara Falls,Miami - Fort Lauderdale - Pompano Beach,42.98525,-78.722374,26.069628,-80.224512,02_02_2023_06_41,02_02_2023_09_05
SUV,Buffalo,NY,14240,Roxboro,NC,27573,1000,TWO_BUSINESS_DAYS,571,1,2022 lamborghini urus,Runs,ENCLOSED,2023-01-31,Lambo,Not specified,JP's Transport LLC,(336) 592-5632,jps.transport2@gmail.com,100.0,Buffalo - Niagara Falls,Durham,42.8885,-78.8246,36.410992,-78.976852,02_02_2023_06_41,02_02_2023_14_57
CAR,Buffalo,NY,14207,Mansfield,TX,76063,1300,COD/COP,1404,1,2019 mercedes-benz gle,Runs,ENCLOSED,2023-01-31,1057684,"Actual pick up Williamsport - PA, 17702",Ship A Car Direct,(818) 284-6643,dispatch@honestyfirstautotransport.com,99.7,Buffalo - Niagara Falls,Dallas - Fort Worth - Arlington,42.950754,-78.900782,32.567898,-97.130456,02_02_2023_06_41,02_02_2023_17_28
CAR,Buffalo,NY,14214,Danvers,MA,01923,750,COD/COP,473,1,1982 ferrari 308,Runs,ENCLOSED,2023-02-03,ferrari,Call/Text 561-543-5158,Priority Auto Relocations Inc,(561) 237-5059,info@priorityautorelocations.com,100.0,Buffalo - Niagara Falls,Boston - Cambridge - Quincy,42.940576,-78.839724,42.576767,-70.951352,02_02_2023_06_41,02_02_2023_12_33
CAR,Brooklyn,NY,11208,Lake Elsinore,CA,92530,1850,COD/COP,2803,1,1956 chevrolet bel air,Runs,ENCLOSED,2023-02-02,11119717,text fast dispatch 5126159873,GP Auto Logistics,(512) 503-1654,info@gpautologistics.com,98.4,New York - Northern New Jersey - Long Island,Riverside - San Bernardino - Ontario,40.674837,-73.871913,33.623306,-117.396752,02_02_2023_06_41,02_02_2023_09_05
PICKUP,Brooklyn,NY,11201,Los Angeles,CA,90052,3500,TWO_BUSINESS_DAYS,2789,1,2020 ford 250,Inop,ENCLOSED,2023-02-01,Curtainside trailer needed 810 931 4531,unit needs to be forklifted on ,Zodiak Transportation and Logistics Solutions LLC,(248) 937-1122,dan@zodiaktls.com,100.0,New York - Northern New Jersey - Long Island,Los Angeles - Long Beach - Anaheim,40.694599,-73.990638,34.0522,-118.2429,02_02_2023_06_41,02_02_2023_07_41
CAR,Brooklyn,NY,11235,Humble,TX,77338,900,COD/COP,1642,1,2019 honda accord,Runs,ENCLOSED,2023-02-02,10072477,TEXT 561-232-2448,Nationwide Transport Services LLC,(754) 732-0333,central@nationwidetransportservices.com,100.0,New York - Northern New Jersey - Long Island,Houston - Sugar Land - Baytown,40.584576,-73.940203,30.009467,-95.292984,02_02_2023_06_41,02_02_2023_17_28
SUV,Brooklyn,NY,11232,fort worth,TX,76107,1200,TEN_BUSINESS_DAYS,1595,1,2023 bmw x7 sports activity vehicle,Runs,ENCLOSED,2023-02-02,26672,text russ 3347918520  mike 3346851741,Culver Carriers Brokerage LLC,(334) 698-0010,culvercarriers@yahoo.com,99.8,New York - Northern New Jersey - Long Island,Dallas - Fort Worth - Arlington,40.657236,-74.002868,32.74308,-97.378045,02_02_2023_06_41,02_02_2023_17_28
