Vehicle Type,Pickup City,Pickup State,Pickup ZIP,Delivery City,Delivery State,Delivery ZIP,Rate,Payment Method,Distance,Veh_qty,Vehicle Info,Vehicle Condition,Trailer Type,Pick-Up Date,Order ID,Additional Info,Company Name,Phone,Email,Rating,Pickup metro area,Delivery metro area,P_lat,P_lon,D_lat,D_lon,Time_first,Time_last
SUV,burlington,MA,01803,sunnyvale,CA,94089,1900,COD/COP,3136,1,2020 bmw x3 sdrive30i sports activity vehicle,Runs,ENCLOSED,2023-01-30,1379434,ach or net 20,Reindeer Logistics LLC,(800) 548-4020,stephen.mackay@reindeerauto.com,99.5,Boston - Cambridge - Quincy,San Jose - Sunnyvale - Santa Clara,42.505988,-71.204536,37.425186,-122.017249,01_30_2023_07_25,01_30_2023_08_07
CAR,depew,NY,14043,st clair,MI,48079,750,COD/COP,232,1,2018 dodge challenger,Runs,ENCLOSED,2023-01-27,360726,call 615-392-4100 txt 615-466-5336 include order id and co,Wholesale Express LLC,(615) 392-4100,dispatch@wholesaleinc.com,99.7,Buffalo - Niagara Falls,Detroit - Warren - Livonia,42.898978,-78.708008,42.855632,-82.546097,01_30_2023_07_25,01_30_2023_08_07
CAR,Deer Park,NY,11729,Easley,SC,29642,700,COD/COP,781,1,1988 ford mustang,Runs,ENCLOSED,2023-01-27,HAWK/SC,Not specified,Shirley Huitt & Sons Inc,864-940-7667,chrishuitt@hotmail.com,100.0,New York - Northern New Jersey - Long Island,Greenville - Mauldin - Easley,40.76252,-73.322365,34.77103,-82.566624,01_30_2023_07_25,01_30_2023_08_07
SUV,cortland,NY,13045,martinsville,VA,24112,1000,COD/COP,565,1,2017 jeep grand cherokee,Runs,ENCLOSED,2023-01-30,1699132,Not specified,Montway LLC,(224) 220-0003,dispatch@montway.com,100.0,Not specified,Not specified,42.611408,-76.178988,36.739734,-79.888412,01_30_2023_07_25,01_30_2023_08_07
SUV,Corfu,NY,14036,Montrose,CO,81403,1095,COD/COP,1852,1,2021 toyota rav4 hybrid  awd,Runs,ENCLOSED,2023-01-30,10482223,Larry (404) 474-2655|| ASAP || Ready for dispatch,USA Carship Inc,(404) 835-7997,info@usacarship.com,96.8,Not specified,Not specified,42.983276,-78.372948,38.383633,-107.905781,01_30_2023_07_25,01_30_2023_08_07
CAR,Comstock,NY,12821,King George,VA,22485,600,TWO_BUSINESS_DAYS,487,1,2022 ford mustang,Runs,ENCLOSED,2023-01-27,JS-01-17,CALL/TEXT FOR DISPATCH 727-390-9994 OR 727-291-3449,Treasure Island Transportation Systems LLC,(727) 520-7172,sales@treasureislandsys.com,99.9,Glens Falls,Not specified,43.452582,-73.40722,38.271078,-77.172762,01_30_2023_07_25,01_30_2023_08_07
CAR,clifton park,NY,12065,richland,WA,99352,2000,COD/COP,2744,1,1958 chevrolet corvette,Runs,ENCLOSED,2023-01-30,Not specified,Not specified,Prestige Motor Car North,(518) 373-1403,sunday@verrillomotorcar.com,91.7,Albany - Schenectady - Troy,Kennewick - Richland - Pasco,42.849782,-73.799975,46.249723,-119.302544,01_30_2023_07_25,01_30_2023_08_07
CAR,Buffalo,NY,14216,Las Vegas,NV,89158,2001,FIVE_BUSINESS_DAYS,2282,1,2020 bentley gt,Runs,ENCLOSED,2023-01-30,11178118,Need gone ASAP !,Shiplux LLC,(305) 517-3456,admin@shiplux.com,100.0,Buffalo - Niagara Falls,Las Vegas - Paradise,42.9439,-78.860554,36.108047,-115.176789,01_30_2023_07_25,01_30_2023_08_07
SUV,Buffalo,NY,14240,Roxboro,NC,27573,950,TWO_BUSINESS_DAYS,571,1,2022 lamborghini urus,Runs,ENCLOSED,2023-01-29,Lambo,Not specified,JP's Transport LLC,(336) 592-5632,jps.transport2@gmail.com,100.0,Buffalo - Niagara Falls,Durham,42.8885,-78.8246,36.410992,-78.976852,01_30_2023_07_25,01_30_2023_08_07
CAR,Buffalo,NY,14214,Danvers,MA,01923,675,COD/COP,473,1,1982 ferrari 308,Runs,ENCLOSED,2023-02-01,ferrari,Call/Text 561-543-5158,Priority Auto Relocations Inc,(561) 237-5059,info@priorityautorelocations.com,100.0,Buffalo - Niagara Falls,Boston - Cambridge - Quincy,42.940576,-78.839724,42.576767,-70.951352,01_30_2023_07_25,01_30_2023_08_07
CAR,Brooklyn,NY,11208,Lake Elsinore,CA,92530,1850,COD/COP,2803,1,1956 chevrolet bel air,Runs,ENCLOSED,2023-01-30,11119717,text fast dispatch 5126159873,GP Auto Logistics,(512) 503-1654,info@gpautologistics.com,98.4,New York - Northern New Jersey - Long Island,Riverside - San Bernardino - Ontario,40.674837,-73.871913,33.623306,-117.396752,01_30_2023_07_25,01_30_2023_08_07
