Vehicle Type,Pickup City,Pickup State,Pickup ZIP,Delivery City,Delivery State,Delivery ZIP,Rate,Payment Method,Distance,Veh_qty,Vehicle Info,Vehicle Condition,Trailer Type,Pick-Up Date,Order ID,Additional Info,Company Name,Phone,Email,Rating,Pickup metro area,Delivery metro area,P_lat,P_lon,D_lat,D_lon,Time_first,Time_last
CAR,cincinnati,OH,45227,pueblo,CO,81005,1250,COD/COP,1203,1,2019 chevrolet corvette,Runs,ENCLOSED,2023-02-07,362476,call 615-392-4100 txt 615-466-5336 include order id and co,Wholesale Express LLC,(615) 392-4100,dispatch@wholesaleinc.com,99.7,Cincinnati - Middletown,Pueblo,39.159187,-84.372066,38.193818,-104.841206,02_08_2023_06_32,02_08_2023_09_07
CAR,Walled Lake,MI,48390,Hastings,NE,68901,1100,COD/COP,881,1,2007 chevrolet corvette,Runs,ENCLOSED,2023-02-07,CHVC-390,Call or Text at 929-512-9757,Elite Auto Shipping,(516) 559-5542 x5,serge@eliteautoshipping.com,99.6,Detroit - Warren - Livonia,Not specified,42.552924,-83.482164,40.589499,-98.387596,02_08_2023_06_32,02_08_2023_08_38
CAR,W Bloomfield,MI,48323,Cedar Falls,IA,50613,830,FIVE_BUSINESS_DAYS,572,1,1991 dodge shadow convertible,Runs,ENCLOSED,2023-02-07,UP20549 Uship Payment.,Not specified,Tempus Logix,(818) 942-7020,dispatchtempuslogix@gmail.com,100.0,Detroit - Warren - Livonia,Waterloo - Cedar Falls,42.573884,-83.384086,42.516968,-92.49115,02_08_2023_06_32,02_08_2023_07_04
PICKUP,troy,MI,48084,los angeles,CA,90068,1800,COD/COP,2293,1,2020 rolls-royce cullinan,Runs,ENCLOSED,2023-02-07,29454212,Not specified,Travelers Auto Transport Inc,(516) 724-6888,info@travelersautotransport.com,98.4,Detroit - Warren - Livonia,Los Angeles - Long Beach - Anaheim,42.556376,-83.177078,34.129853,-118.335456,02_08_2023_06_32,02_08_2023_09_36
SUV,royal oak,MI,48073,creve coeur,MO,63141,1300,COD/COP,562,1,2023 chevrolet tahoe- enclosed,Runs,ENCLOSED,2023-02-09,244228 vip,to book email cole@acmecarshipping.com,Acme Auto Shipping,(469) 464-5725 x2,kevin@acmecarshipping.com,100.0,Detroit - Warren - Livonia,St. Louis,42.521767,-83.164726,38.655446,-90.452506,02_08_2023_06_32,02_08_2023_09_53
SUV,Royal Oak,MI,48067,Downey,CA,90241,950,COD/COP,2284,1,2023 gmc yukon xl 4wd,Runs,ENCLOSED,2023-02-20,11183010,(404) 474-0858 Jack Miller,USA Carship Inc,(404) 835-7997,info@usacarship.com,96.9,Detroit - Warren - Livonia,Los Angeles - Long Beach - Anaheim,42.4894,-83.141672,33.938979,-118.125611,02_08_2023_06_32,02_08_2023_17_18
PICKUP,rochester hills,MI,48307,ishpeming,MI,49849,550,COD/COP,453,1,2023 toyota tacoma 4wd,Runs,ENCLOSED,2023-02-08,3994245-at,ready to go,Ultimate Transport 123,(888) 885-9123 x3,dispatch@ultimatetransport123.com,100.0,Detroit - Warren - Livonia,Not specified,42.659892,-83.122741,46.506235,-87.728792,02_08_2023_06_32,02_08_2023_06_48
CAR,West Bloomfield,MI,48323,Des Moines,IA,50316,830,FIVE_BUSINESS_DAYS,591,1,1991 dodge shadow convertible,Runs,ENCLOSED,2023-02-07,UP20549a,orig delivery IA - Cedar Falls 50613 ,Tempus Logix,(818) 942-7020,dispatchtempuslogix@gmail.com,100.0,Detroit - Warren - Livonia,Des Moines - West Des Moines,42.573884,-83.384086,41.610052,-93.599024,02_08_2023_06_32,02_08_2023_07_04
PICKUP,Redford,MI,48239,Cedar Park,TX,78613,1600,TWO_BUSINESS_DAYS,1394,1,2013 ford f-150,Runs,ENCLOSED,2023-02-07,US32198,2 Day Quick pay,AA Auto Transport,(858) 578-3336,infoaa@aa-auto.com,99.6,Detroit - Warren - Livonia,Austin - Round Rock - San Marcos,42.374514,-83.280761,30.497998,-97.815694,02_08_2023_06_32,02_08_2023_08_01
CAR,plymouth,MI,48170,austin,TX,78746,1400,COD/COP,1386,1,2019 alfa romeo stelvio sport awd,Runs,ENCLOSED,2023-02-13,1379523,ach or net 20,Reindeer Logistics LLC,(800) 548-4020,stephen.mackay@reindeerauto.com,99.4,Detroit - Warren - Livonia,Austin - Round Rock - San Marcos,42.363519,-83.536643,30.295657,-97.813727,02_08_2023_06_32,02_08_2023_17_18
