Vehicle Type,Pickup City,Pickup State,Pickup ZIP,Delivery City,Delivery State,Delivery ZIP,Rate,Payment Method,Distance,Veh_qty,Vehicle Info,Vehicle Condition,Trailer Type,Pick-Up Date,Order ID,Additional Info,Company Name,Phone,Email,Rating,Pickup metro area,Delivery metro area,P_lat,P_lon,D_lat,D_lon,Time_first,Time_last
MOTORCYCLE,Grenada,MS,38901,savannah,GA,31415,250,COD/COP,618,1,2012 harley davidson flstc,Runs,OPEN,2023-02-09,GA_41161,IAAI  could be inop. Fork on/off if needed.,"Baltic Auto Shipping, Inc",(708) 924-7481,transport@balticasi.com,99.7,Not specified,Savannah,33.779779,-89.782668,32.082868,-81.137852,02_10_2023_06_22,02_10_2023_21_07
CAR,Buda,TX,78610,Marlboro,NJ,07746,1050,TWO_BUSINESS_DAYS,1736,1,1968 chevrolet chevelle,Runs,ENCLOSED,2023-02-08,NRC-0001,Big Rig Multicarrier ONLY,No Reserve Classics,(848) 205-0664,john@noreserveclassics.com,0.0,Austin - Round Rock - San Marcos,New York - Northern New Jersey - Long Island,30.071798,-97.842354,40.313518,-74.257216,02_10_2023_06_22,02_10_2023_08_45
SUV,Austin,TX,78746,Aspen,CO,81611,1500,TWO_BUSINESS_DAYS,967,1,2012 land rover range rover,Runs,ENCLOSED,2023-02-14,11301957,Call or Text 561-229-0690,Nationwide Transport Services LLC,(754) 732-0333,central@nationwidetransportservices.com,100.0,Austin - Round Rock - San Marcos,Not specified,30.295657,-97.813727,39.138938,-106.779889,02_10_2023_06_22,02_10_2023_21_07
CAR,Austin,TX,78734,Fayville,MA,01745,1150,FIVE_BUSINESS_DAYS,1944,1,1954 chevrolet corvette,Inop,ENCLOSED,2023-02-09,6019e,Project car. Rolls & steers. Does not brake. Need 3 to 4 hrs,"C Auto Transport, Inc",(405) 708-1373,c1auto@aol.com,100.0,Austin - Round Rock - San Marcos,Worcester,30.38223,-97.956389,42.291501,-71.500158,02_10_2023_06_22,02_10_2023_10_34
CAR,union city,TN,38261,yuma,AZ,85365,1350,COD/COP,1769,1,2023 polaris rzr + 5 spare tires,Runs,ENCLOSED,2023-02-16,1720762,Not specified,Montway LLC,(224) 220-0003,dispatch@montway.com,100.0,Not specified,Yuma,36.416245,-89.145516,32.723264,-114.537883,02_10_2023_06_22,02_10_2023_11_04
CAR,smyrna,TN,37167,the woodlands,TX,77381,950,TWO_BUSINESS_DAYS,800,1,1968 chevrolet camaro,Runs,ENCLOSED,2023-02-09,23-088,Book on super-lb.com/0VQPzD,CREE Classic Cars LLC,(573) 819-8214,creeclassiccars@gmail.com,100.0,Nashville-Davidson - Murfreesboro - Franklin,Houston - Sugar Land - Baytown,35.953172,-86.528718,30.17724,-95.496656,02_10_2023_06_22,02_10_2023_08_28
CAR,Normandy,TN,37360,Midland,TX,79707,1100,IMMEDIATELY,1054,1,1964 buick riviera/ custom,Inop,ENCLOSED,2023-02-09,DB1454,Direct Payment Zelle,DB Auto Relocation Service,(520) 591-5305,dbdrivernetwork@gmail.com,100.0,Not specified,Midland,35.44855,-86.2479,32.006582,-102.185893,02_10_2023_06_22,02_10_2023_12_45
SUV,Nashville,TN,37205,Silverton,CO,81433,2450,TEN_BUSINESS_DAYS,1473,1,2023 mitsubishi outlander phev,Runs,ENCLOSED,2023-02-16,11229051,pls call 561 800 2836/ dedicated load,"ShipYourCarNow, LLC",(917) 933-5723,cdfdtest@shipyourcarnow.com,99.7,Nashville-Davidson - Murfreesboro - Franklin,Not specified,36.112006,-86.868337,37.802096,-107.716603,02_10_2023_06_22,02_10_2023_08_51
CAR,Nashville,TN,37201,Cape Coral,FL,33914,645,COD/COP,826,1,1973 ford mustang,Runs,ENCLOSED,2023-02-10,9867931,Simon (404) 400-5293 || Ready for dispatch ,USA Carship Inc,(404) 835-7997,info@usacarship.com,97.0,Nashville-Davidson - Murfreesboro - Franklin,Cape Coral - Fort Myers,36.165964,-86.773205,26.567517,-82.018611,02_10_2023_06_22,02_10_2023_21_07
CAR,Nashville,TN,37201,Amarillo,TX,79101,600,COD/COP,939,1,2007 ford mustang,Runs,ENCLOSED,2023-02-13,11294278,Thomas 470-348-0769 || ready for pickup || signed contract,USA Carship Inc,(404) 835-7997,info@usacarship.com,97.0,Nashville-Davidson - Murfreesboro - Franklin,Amarillo,36.165964,-86.773205,35.205341,-101.83998,02_10_2023_06_22,02_10_2023_21_07
