Vehicle Type,Pickup City,Pickup State,Pickup ZIP,Delivery City,Delivery State,Delivery ZIP,Rate,Payment Method,Distance,Veh_qty,Vehicle Info,Vehicle Condition,Trailer Type,Pick-Up Date,Order ID,Additional Info,Company Name,Phone,Email,Rating,Pickup metro area,Delivery metro area,P_lat,P_lon,D_lat,D_lon,Time_first,Time_last
MOTORCYCLE,Monroe,MI,48161,Vail,AZ,85641,900,THIRTY_BUSINESS_DAYS,1966,1,2013 honda cbr600rr,Runs,ENCLOSED,2023-01-24,Not specified,Call or Text 330-749-4304 or Email aarters@tql.com,Total Quality Logistics LLC,(513) 831-2600,carrierservices@tql.com,98.3,Monroe,Tucson,41.912639,-83.473013,31.984346,-110.685376,01_24_2023_17_10,01_25_2023_09_05
CAR,Malden,MA,02148,Carmel,IN,46032,575,COD/COP,958,1,2014 nissan altima,Runs,ENCLOSED,2023-01-24,10829532,Larry (404) 474 2655 || ASAP || Ready for dispatch,USA Carship Inc,(404) 835-7997,info@usacarship.com,96.8,Boston - Cambridge - Quincy,Indianapolis - Carmel,42.43279,-71.054417,39.972741,-86.177082,01_24_2023_17_10,01_24_2023_17_12
CAR,Mashpee,MA,02649,Fairfield,CT,06824,600,TWO_BUSINESS_DAYS,194,1,2013 porsche 911,Runs,ENCLOSED,2023-01-30,13030 Porsche 911 Cab,Not specified,Exim-Cars LLC,(859) 333-0445,danny@exim-cars.com,100.0,Barnstable Town,Bridgeport - Stamford - Norwalk,41.617175,-70.492455,41.17451,-73.284305,01_24_2023_17_10,01_25_2023_15_58
SUV,Newton Center,MA,02459,Winston Salem,NC,27106,815,COD/COP,811,1,2019 subaru crosstrek awd,Runs,ENCLOSED,2023-01-24,11052746,ASAP||Ready to Dispatch||Contract Sign||Sam||404-835-7301,USA Carship Inc,(404) 835-7997,info@usacarship.com,96.8,Boston - Cambridge - Quincy,Winston - Salem,42.312221,-71.1947,36.148011,-80.324205,01_24_2023_17_10,01_24_2023_17_12
CAR,Newton Highlands,MA,02461,Naples,FL,34110,775,COD/COP,1496,1,2002 ford thunderbird,Runs,ENCLOSED,2023-01-24,10209678,James (404) 446-3921 Ready Contract sign ,USA Carship Inc,(404) 835-7997,info@usacarship.com,96.8,Boston - Cambridge - Quincy,Naples - Marco Island,42.314007,-71.20848,26.299119,-81.78955,01_24_2023_17_10,01_24_2023_17_12
CAR,north waltham,MA,02451,santa clara,CA,95051,1800,COD/COP,3130,1,2020 ford mustang,Runs,ENCLOSED,2023-01-27,145206-2,"pul: getzville,ny 14068 del: santa clara,ca 95051",SGT Auto Transport,(864) 546-5038,sgtautotransport@gmail.com,99.9,Boston - Cambridge - Quincy,San Jose - Sunnyvale - Santa Clara,42.397322,-71.259369,37.350372,-121.98475,01_24_2023_17_10,01_24_2023_17_12
SUV,Norwell,MA,02061,Colorado Springs,CO,80903,1800,THIRTY_BUSINESS_DAYS,2065,1,2023 audi q7,Runs,ENCLOSED,2023-01-25,5479544,stephanie.peterson@autotrans.com,Accelerated Services 1,(720) 200-3100,tom@autotrans.com,99.7,Boston - Cambridge - Quincy,Colorado Springs,42.151425,-70.821397,38.83082,-104.814324,01_24_2023_17_10,01_25_2023_10_06
CAR,Norwell,MA,02061,Mc Lean,VA,22102,2900,FIFTEEN_BUSINESS_DAYS,466,1,"2021 rolls-royce ghost *must have hardside enclosed* *round trip, must take a 2021 lamborghini hurrican evo back to norwell ma* *must have proper coverage*",Runs,ENCLOSED,2023-01-24,A277680/681A,call x 199 quickpay avail  *Cannot deliver 1/28-1/29,"Fisher Shipping Company,LLC",(508) 792-2427,dave@fishershipping.com,100.0,Boston - Cambridge - Quincy,Washington - Arlington - Alexandria,42.151425,-70.821397,38.959942,-77.224902,01_24_2023_17_10,01_25_2023_08_12
CAR,Palmer,MA,01069,Howell,MI,48843,1000,FIFTEEN_BUSINESS_DAYS,768,1,1941 willys coupe,Runs,ENCLOSED,2023-01-24,8649-CJ,Not specified,Executive Auto Transport LLC,(774) 304-1197,executive.autotrans@gmail.com,99.9,Springfield,Detroit - Warren - Livonia,42.192062,-72.307682,42.572706,-83.910154,01_24_2023_17_10,01_24_2023_17_12
SUV,Quincy,MA,02171,Murrieta,CA,92562,2550,TWO_BUSINESS_DAYS,2996,1,2006 mercedes-benz g-class,Runs,ENCLOSED,2023-01-24,30009,ASAP - TEXT ONLY - 469-667-9881,Transport Premier Services LLC,(808) 758-9115,bobby@tpsautoshippers.com,99.7,Boston - Cambridge - Quincy,Riverside - San Bernardino - Ontario,42.296117,-70.999722,33.542828,-117.26895,01_24_2023_17_10,01_25_2023_09_12
