Vehicle Type,Pickup City,Pickup State,Pickup ZIP,Delivery City,Delivery State,Delivery ZIP,Rate,Payment Method,Distance,Veh_qty,Vehicle Info,Vehicle Condition,Trailer Type,Pick-Up Date,Order ID,Additional Info,Company Name,Phone,Email,Rating,Pickup metro area,Delivery metro area,P_lat,P_lon,D_lat,D_lon,Time_first,Time_last
CAR,conroe,TX,77302,bellmore,NY,11710,800,COD/COP,1665,1,1966 shelby cobra,Runs,ENCLOSED,2023-02-10,1719554,Not specified,Montway LLC,(224) 220-0003,dispatch@montway.com,100.0,Houston - Sugar Land - Baytown,New York - Northern New Jersey - Long Island,30.223954,-95.365004,40.673658,-73.537939,02_09_2023_07_53,02_09_2023_09_37
CAR,Westwood,NJ,07675,Columbia,SC,29201,1005,TEN_BUSINESS_DAYS,751,1,2009 porsche cayman s,Runs,ENCLOSED,2023-02-14,11246768,"deliver Murrells Inlet, SC 29576",All American Trucking & Transport Inc,(650) 443-2020,dispatch@moveauto.com,100.0,New York - Northern New Jersey - Long Island,Columbia,41.009864,-74.007072,33.986628,-81.024826,02_09_2023_07_53,02_09_2023_08_43
CAR,Westwood,NJ,07675,Miami,FL,33101,1005,TEN_BUSINESS_DAYS,1309,1,2009 porsche cayman s,Runs,ENCLOSED,2023-02-14,11246784,"deliver Murrells Inlet, SC 29576",All American Trucking & Transport Inc,(650) 443-2020,dispatch@moveauto.com,100.0,New York - Northern New Jersey - Long Island,Miami - Fort Lauderdale - Pompano Beach,41.009864,-74.007072,25.7738,-80.1936,02_09_2023_07_53,02_09_2023_08_43
CAR,Westwood,NJ,07675,Murrells Inlet,SC,29576,1005,TEN_BUSINESS_DAYS,707,1,2009 porsche cayman s,Runs,ENCLOSED,2023-02-14,11246765,Not specified,All American Trucking & Transport Inc,(650) 443-2020,dispatch@moveauto.com,100.0,New York - Northern New Jersey - Long Island,Myrtle Beach - Conway - North Myrtle Beach,41.009864,-74.007072,33.563028,-79.054258,02_09_2023_07_53,02_09_2023_08_43
CAR,alamogordo,NM,88310,las vegas,NV,89118,550,THIRTY_BUSINESS_DAYS,737,1,2022 porsche 911,Runs,ENCLOSED,2023-02-08,AP2218 - Dispatch (text) 774-601-3807,Not specified,AutoCarGo,(508) 909-6615,andrew@autocargoco.com,100.0,Not specified,Las Vegas - Paradise,32.769898,-106.098978,36.0784,-115.21193,02_09_2023_07_53,02_09_2023_10_13
CAR,Albuquerque,NM,87101,Norman,OK,73019,1,FIVE_BUSINESS_DAYS,565,1,2000 volkswagen beetle,Runs,ENCLOSED,2023-02-08,0004,Not specified,A-Z Affordable Transport,661-347-4043,info@azafford.com,95.2,Albuquerque,Oklahoma City,35.0846,-106.6516,35.2227,-97.4395,02_09_2023_07_53,02_09_2023_15_03
CAR,clovis,NM,88101,carrollton,TX,75006,550,TWO_BUSINESS_DAYS,431,1,2019 chevrolet corvette,Runs,ENCLOSED,2023-02-08,1932,Not specified,BHJ Trading Inc,(313) 802-8388,bhjtradinginc@gmail.com,100.0,Not specified,Dallas - Fort Worth - Arlington,34.509263,-103.280274,32.951364,-96.891487,02_09_2023_07_53,02_09_2023_08_49
CAR,Las Cruces,NM,88005,Aiken,SC,29801,1000,COD/COP,1650,1,2018 mercedes-benz mercedes-amg gt coupe,Runs,ENCLOSED,2023-02-15,20gts,Payment will be made by Zelle or company check,A 1 Mobile Detail Service,(706) 834-6010,a1mds@comcast.net,96.1,Las Cruces,Augusta - Richmond County,32.283761,-107.002487,33.601929,-81.661132,02_09_2023_07_53,02_09_2023_08_24
CAR,Boulder City,NV,89005,Portland,OR,97229,1000,FIVE_BUSINESS_DAYS,1053,1,1969 chevrolet corvette,Runs,ENCLOSED,2023-02-13,2957,Not specified,Safe Way Auto Trans,(270) 388-4657,paul.mullen@safewayautotransport.com,99.7,Las Vegas - Paradise,Portland - Vancouver - Hillsboro,35.92822,-114.832658,45.554376,-122.811306,02_09_2023_07_53,02_09_2023_15_03
SUV,elko,NV,89801,bismarck,ND,58501,1700,COD/COP,1124,1,2009 subaru tribeca,Runs,ENCLOSED,2023-02-08,29888,have contract full pmt 702-342-1058,American Auto Shipping,(702) 342-1058,dispatch@americanautoshipping.com,100.0,Not specified,Bismarck,41.177457,-115.892493,46.822464,-100.718953,02_09_2023_07_53,02_09_2023_15_03
CAR,union city,NJ,07087,fayetteville,NC,28301,950,COD/COP,547,1,2018 bmw 6 series,Runs,ENCLOSED,2023-02-10,r567212,call or request online: v2d&period;io/1nrbql,RoadRunner Auto Transport,(516) 605-2666,dispatch@v2logistics.com,99.9,New York - Northern New Jersey - Long Island,Fayetteville,40.766727,-74.030336,35.066255,-78.88934,02_09_2023_07_53,02_09_2023_08_03
